id,token_address,timestamp,moralis_score,top10_holders_percent,experienced_buyers,experienced_sellers,holders_by_swap,holders_by_transfer,total_holders,category
117,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:38:55.419957,41,54.98,,,,,,
118,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:38:55.977241,49,41.4,,,,,,
119,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:38:56.568926,49,44.8,,,,,,
120,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:39:54.252904,44,82.61,,,,,,
121,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:39:54.881741,48,54.92,,,,,,
122,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:39:55.444575,33,100.0,,,,,,
123,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:39:56.314564,41,54.98,,,,,,
124,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:39:57.279350,50,36.01,,,,,,
125,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:39:57.853860,49,46.06,,,,,,
126,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:40:55.350532,44,82.61,,,,,,
127,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:40:56.500403,48,54.92,,,,,,
128,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:40:57.109229,33,100.0,,,,,,
129,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:40:57.760135,41,54.98,,,,,,
130,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:40:58.655850,50,36.01,,,,,,
131,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:40:59.198731,49,46.06,,,,,,
132,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:41:51.917060,44,82.61,,,,,,
133,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:41:52.759769,48,54.92,,,,,,
134,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:41:53.489985,33,100.0,,,,,,
135,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:41:54.067740,41,54.98,,,,,,
136,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:41:55.199163,50,36.01,,,,,,
137,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:41:55.801085,50,46.06,,,,,,
138,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:42:52.346863,44,83.32,,,,,,
139,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:42:52.901665,48,54.92,,,,,,
140,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:42:53.613341,33,100.0,,,,,,
141,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:42:54.160380,41,52.41,,,,,,
142,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:42:54.999494,51,36.01,,,,,,
143,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:42:55.799764,50,46.06,,,,,,
144,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:43:52.671082,44,83.32,,,,,,
145,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:43:53.261827,48,54.92,,,,,,
146,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:43:53.812356,33,100.0,,,,,,
147,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:43:54.373192,41,52.41,,,,,,
148,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:43:54.923399,51,36.01,,,,,,
149,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:43:55.503082,50,46.06,,,,,,
150,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:44:54.795781,44,83.32,,,,,,
151,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:44:55.514368,48,54.92,,,,,,
152,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:44:56.087376,33,100.0,,,,,,
153,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:44:56.827157,41,52.41,,,,,,
154,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:44:57.383493,50,43.04,,,,,,
155,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:44:57.946735,50,45.23,,,,,,
156,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:45:51.313004,44,83.32,,,,,,
157,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:45:51.964172,50,55.43,,,,,,
158,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:45:52.501238,35,100.0,,,,,,
159,v2zcycqJVc4uueBdEe8UKmH1uSMegyvojtu8toHBAGS,2026-01-23 18:45:53.380117,41,52.41,,,,,,
160,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:45:54.719615,50,43.04,,,,,,
161,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:45:55.571221,50,45.23,,,,,,
162,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:46:53.014830,44,83.32,,,,,,
163,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:46:53.715994,50,55.43,,,,,,
164,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:46:54.283039,35,100.0,,,,,,
165,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:46:55.043136,50,43.04,,,,,,
166,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:46:55.703118,50,45.23,,,,,,
167,AbmuJjtksyLTcBF57EeMKBXqzTRZPGhTQEiaUFZbQsBT,2026-01-23 18:46:56.770334,45,84.16,,,,,,
168,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:47:53.945741,44,83.32,,,,,,
169,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:47:54.708479,50,55.43,,,,,,
170,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:47:55.701724,35,100.0,,,,,,
171,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:47:56.272817,50,43.04,,,,,,
172,8HAMKMPCcY1EtqdbobVSCRHC3CtCBZmcWFZpFm1tmoon,2026-01-23 18:47:57.015227,50,45.23,,,,,,
173,AbmuJjtksyLTcBF57EeMKBXqzTRZPGhTQEiaUFZbQsBT,2026-01-23 18:47:57.766480,45,84.16,,,,,,
174,9a59JPrcpPZ48mGtdFAiBAJQSgw2ZQpKxXySSTrvBAGS,2026-01-23 18:47:58.467635,43,42.78,,,,,,
175,EZKBLsiMX8HbjS31bzmRm97KqYN4ji8BqkG3jeL8bh2L,2026-01-23 18:48:52.567615,44,81.25,,,,,,
176,AF6wEHUrXZbFWqP15tc7byaMwpQzCBXHq4oLAWyfpump,2026-01-23 18:48:53.174930,50,55.43,,,,,,
177,48fofMkuUyaDDRTLJKaLfNkRC8M9Hbgmr4VR6XkDpump,2026-01-23 18:48:53.785836,35,100.0,,,,,,
178,yEBQ3hxPcxUPXsdad9UiPTsxEzJBu2C2egtboGUpump,2026-01-23 18:48:54.344641,50,43.04,,,,,,
